Trace Gases																												
Altitude	H2O	CO2	O3	N2O	CO	CH4	O2	NO	SO2	NO2	NH3	HNO3	OH	HF	HCl	HBr	HI	ClO	OCS	H2CO	HOCl	N2	HCN	CH3Cl	H2O2	C2H2	C2H6	PH3
km	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv
45	5.23	330	5.25E+00	1.59E-02	3.24E-02	3.63E-01	2.09E+05	1.70E-02	2.10E-05	1.15E-03	2.98E-11	1.21E-04	5.11E-04	4.21E-04	1.79E-03	6.85E-06	3.00E-06	2.51E-04	3.34E-07	4.82E-05	9.74E-05	7.81E-05	7.00E-05	6.68E-07	4.44E-05	9.97E-10	1.04E-08	1.00E-14
47.5	5.25	330	4.10E+00	9.38E-03	3.72E-02	2.77E-01	2.09E+05	1.00E-02	2.77E-05	6.66E-04	1.30E-11	7.70E-05	5.79E-04	4.24E-04	1.80E-03	7.08E-06	3.00E-06	1.56E-04	2.80E-07	1.63E-05	4.92E-05	7.81E-05	6.70E-05	5.60E-07	3.80E-05	9.34E-10	6.57E-09	1.00E-14
50	5.23	330	3.10E+00	4.75E-03	4.60E-02	2.10E-01	2.09E+05	1.03E-02	3.56E-05	4.43E-04	7.13E-12	5.55E-05	6.75E-04	4.25E-04	1.80E-03	7.14E-06	3.00E-06	1.04E-04	2.47E-07	5.10E-06	2.53E-05	7.81E-05	6.43E-05	4.94E-07	3.48E-05	8.83E-10	4.74E-09	1.00E-14
55	5.1	330	1.80E+00	3.00E-03	6.64E-02	1.65E-01	2.09E+05	1.01E-02	4.59E-05	3.39E-04	4.80E-12	4.45E-05	9.53E-04	4.25E-04	1.80E-03	7.15E-06	3.00E-06	7.69E-05	2.28E-07	2.00E-06	1.50E-05	7.81E-05	6.21E-05	4.56E-07	3.62E-05	8.43E-10	3.79E-09	1.00E-14
60	4.75	330	1.10E+00	2.07E-03	1.07E-01	1.50E-01	2.09E+05	1.01E-02	5.15E-05	2.85E-04	3.66E-12	3.84E-05	1.76E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	6.30E-05	2.16E-07	1.05E-06	1.05E-05	7.81E-05	6.02E-05	4.32E-07	5.25E-05	8.10E-10	3.28E-09	1.00E-14
65	4.2	330	7.00E-01	1.51E-03	1.86E-01	1.50E-01	2.09E+05	1.03E-02	5.11E-05	2.53E-04	3.00E-12	3.49E-05	3.74E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	5.52E-05	2.08E-07	6.86E-07	8.34E-06	7.81E-05	5.88E-05	4.17E-07	1.26E-04	7.83E-10	2.98E-09	1.00E-14
70	3.5	330	3.00E-01	1.15E-03	3.06E-01	1.50E-01	2.09E+05	1.15E-02	4.32E-05	2.31E-04	2.57E-12	3.27E-05	7.19E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	5.04E-05	2.03E-07	5.14E-07	7.11E-06	7.81E-05	5.75E-05	4.05E-07	3.77E-04	7.60E-10	2.79E-09	1.00E-14
75	2.83	330	2.50E-01	8.89E-04	6.38E-01	1.50E-01	2.09E+05	1.61E-02	2.83E-05	2.15E-04	2.27E-12	3.12E-05	1.12E-02	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.72E-05	1.98E-07	4.16E-07	6.33E-06	7.81E-05	5.62E-05	3.96E-07	1.12E-03	7.40E-10	2.66E-09	1.00E-14
80	2.05	328	3.00E-01	7.06E-04	1.50E+00	1.50E-01	2.09E+05	2.68E-02	1.33E-05	2.02E-04	2.04E-12	3.01E-05	1.13E-02	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.49E-05	1.95E-07	3.53E-07	5.78E-06	7.81E-05	5.50E-05	3.89E-07	2.00E-03	7.23E-10	2.56E-09	1.00E-14
85	1.33	320	5.00E-01	5.72E-04	3.24E+00	1.50E-01	2.00E+05	7.01E-02	5.56E-06	1.92E-04	1.85E-12	2.92E-05	6.10E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.30E-05	1.92E-07	3.09E-07	5.37E-06	7.81E-05	5.37E-05	3.83E-07	1.68E-03	7.07E-10	2.49E-09	1.00E-14
90	0.85	310	7.00E-01	4.71E-04	5.84E+00	1.40E-01	1.90E+05	2.13E-01	2.24E-06	1.83E-04	1.71E-12	2.84E-05	1.51E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.18E-05	1.89E-07	2.76E-07	5.05E-06	7.80E-05	5.25E-05	3.78E-07	4.31E-04	6.94E-10	2.43E-09	1.00E-14
95	0.54	270	7.00E-01	3.93E-04	1.01E+01	1.30E-01	1.80E+05	7.12E-01	8.96E-07	1.76E-04	1.59E-12	2.78E-05	2.42E-04	4.25E-04	1.80E-03	7.15E-06	3.00E-06	4.03E-05	1.87E-07	2.50E-07	4.78E-06	7.79E-05	5.12E-05	3.73E-07	4.98E-05	6.81E-10	2.37E-09	1.00E-14
100	0.4	195	4.00E-01	3.32E-04	1.69E+01	1.20E-01	1.60E+05	2.08E+00	3.58E-07	1.70E-04	1.48E-12	2.73E-05	4.47E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.93E-05	1.85E-07	2.30E-07	4.56E-06	7.77E-05	5.00E-05	3.69E-07	6.76E-06	6.70E-10	2.33E-09	1.00E-14
105	0.34	110	2.00E-01	2.84E-04	2.47E+01	1.10E-01	1.40E+05	4.50E+00	1.43E-07	1.64E-04	1.40E-12	2.68E-05	1.77E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.83E-05	1.83E-07	2.13E-07	4.37E-06	7.74E-05	4.87E-05	3.66E-07	8.38E-07	6.59E-10	2.29E-09	1.00E-14
110	0.28	60	5.00E-02	2.44E-04	3.36E+01	9.50E-02	1.20E+05	7.98E+00	5.73E-08	1.59E-04	1.32E-12	2.84E-05	1.19E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.75E-05	1.81E-07	1.98E-07	4.21E-06	7.70E-05	4.75E-05	3.62E-07	9.56E-08	6.49E-10	2.25E-09	1.00E-14
115	0.24	40	5.00E-03	2.12E-04	4.15E+01	6.00E-02	9.40E+04	1.00E+01	2.29E-08	1.55E-04	1.25E-12	2.60E-05	1.35E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.68E-05	1.80E-07	1.86E-07	4.06E-06	7.65E-05	4.62E-05	3.59E-07	1.00E-08	6.40E-10	2.22E-09	1.00E-14
120	0.2	35	5.00E-04	1.85E-04	5.00E+01	3.00E-02	7.25E+04	1.00E+01	9.17E-09	1.51E-04	1.19E-12	2.57E-05	2.20E-05	4.25E-04	1.80E-03	7.15E-06	3.00E-06	3.61E-05	1.78E-07	1.75E-07	3.93E-06	7.60E-05	4.50E-05	3.56E-07	1.00E-09	6.32E-10	2.19E-09	1.00E-14
