Profile	TRP+Aux																														
Altitude	Pres	Temp	Density	H2O	O3	N2O	CO	CH4	CO2	O2	NO	SO2	NO2	NH3	HNO3	OH	HF	HCl	HBr	HI	ClO	OCS	H2CO	HOCl	N2	HCN	CH3Cl	H2O2	C2H2	C2H6	PH3
km	mb	K	cm^-3	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv	ppmv
37.5	4.26	248.5	1.24E+17	4.90E+00	8.80E+00	6.69E-02	2.74E-02	6.62E-01	330	2.09E+05	9.34E-03	1.21E-05	6.26E-03	9.26E-10	9.68E-04	1.70E-04	3.72E-04	1.69E-03	3.69E-06	3.00E-06	6.07E-04	1.60E-06	1.13E-04	3.04E-04	7.81E-05	8.02E-05	3.03E-06	8.51E-05	1.32E-09	1.34E-07	1.00E-14
40	3.05	254	8.70E+16	5.20E+00	7.50E+00	4.51E-02	3.10E-02	5.64E-01	330	2.09E+05	1.20E-02	1.36E-05	4.03E-03	2.94E-10	5.33E-04	2.85E-04	3.95E-04	1.74E-03	4.91E-06	3.00E-06	5.95E-04	6.71E-07	1.03E-04	2.48E-04	7.81E-05	7.63E-05	1.32E-06	6.37E-05	1.18E-09	5.39E-08	1.00E-14
42.5	2.2	259.4	6.15E+16	5.50E+00	5.90E+00	2.75E-02	3.51E-02	4.61E-01	330	2.09E+05	1.90E-02	1.65E-05	2.17E-03	8.72E-11	2.52E-04	4.06E-04	4.10E-04	1.76E-03	6.13E-06	3.00E-06	4.33E-04	4.35E-07	7.95E-05	1.64E-04	7.81E-05	7.30E-05	8.69E-07	5.17E-05	1.08E-09	2.25E-08	1.00E-14
45	1.59	264.8	4.35E+16	5.70E+00	4.50E+00	1.59E-02	3.99E-02	3.63E-01	330	2.09E+05	1.70E-02	2.10E-05	1.15E-03	2.98E-11	1.21E-04	5.11E-04	4.21E-04	1.79E-03	6.85E-06	3.00E-06	2.51E-04	3.34E-07	4.82E-05	9.74E-05	7.81E-05	7.00E-05	6.68E-07	4.44E-05	9.97E-10	1.04E-08	1.00E-14
47.5	1.16	269.6	3.12E+16	5.90E+00	3.45E+00	9.38E-03	4.48E-02	2.77E-01	330	2.09E+05	1.00E-02	2.77E-05	6.66E-04	1.30E-11	7.70E-05	5.79E-04	4.24E-04	1.80E-03	7.08E-06	3.00E-06	1.56E-04	2.80E-07	1.63E-05	4.92E-05	7.81E-05	6.70E-05	5.60E-07	3.80E-05	9.34E-10	6.57E-09	1.00E-14
50	0.854	270.2	2.29E+16	6.00E+00	2.80E+00	4.75E-03	5.09E-02	2.10E-01	330	2.09E+05	1.03E-02	3.56E-05	4.43E-04	7.13E-12	5.55E-05	6.75E-04	4.25E-04	1.80E-03	7.14E-06	3.00E-06	1.04E-04	2.47E-07	5.10E-06	2.53E-05	7.81E-05	6.43E-05	4.94E-07	3.48E-05	8.83E-10	4.74E-09	1.00E-14
55	0.456	263.4	1.26E+16	6.00E+00	1.80E+00	3.00E-03	5.99E-02	1.65E-01	330	2.09E+05	1.01E-02	4.59E-05	3.39E-04	4.80E-12	4.45E-05	9.53E-04	4.25E-04	1.80E-03	7.15E-06	3.00E-06	7.69E-05	2.28E-07	2.00E-06	1.50E-05	7.81E-05	6.21E-05	4.56E-07	3.62E-05	8.43E-10	3.79E-09	1.00E-14
60	0.239	253.1	6.84E+15	6.00E+00	1.10E+00	2.07E-03	6.96E-02	1.50E-01	330	2.09E+05	1.01E-02	5.15E-05	2.85E-04	3.66E-12	3.84E-05	1.76E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	6.30E-05	2.16E-07	1.05E-06	1.05E-05	7.81E-05	6.02E-05	4.32E-07	5.25E-05	8.10E-10	3.28E-09	1.00E-14
65	0.121	236	3.72E+15	5.40E+00	6.50E-01	1.51E-03	9.19E-02	1.50E-01	330	2.09E+05	1.03E-02	5.11E-05	2.53E-04	3.00E-12	3.49E-05	3.74E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	5.52E-05	2.08E-07	6.86E-07	8.34E-06	7.81E-05	5.88E-05	4.17E-07	1.26E-04	7.83E-10	2.98E-09	1.00E-14
70	0.058	218.9	1.92E+15	4.50E+00	3.00E-01	1.15E-03	1.94E-01	1.50E-01	330	2.09E+05	1.15E-02	4.32E-05	2.31E-04	2.57E-12	3.27E-05	7.19E-03	4.25E-04	1.80E-03	7.15E-06	3.00E-06	5.04E-05	2.03E-07	5.14E-07	7.11E-06	7.81E-05	5.75E-05	4.05E-07	3.77E-04	7.60E-10	2.79E-09	1.00E-14
